trip_id,vehicle_id,device_id,date_debut,date_fin,duree_min,distance_m,commune,geo_point_2d
0f25477d-a559-90e7-4910-fade52380bf2,GX424MR,c4bbb7a9-d988-68dd-9c7c-737779a28903,2026-04-01T06:00:00,2026-04-01T06:36:28,36.5,7131,Vanves,"48.82825,2.28403"
e4eb8000-ef40-d162-0f6c-e9bffe7ee362,ES327YB,3c07c574-4925-7af1-b6aa-e05b13d5f2f7,2026-04-01T06:02:00,2026-04-01T06:10:59,9.0,1337,Issy-les-Moulineaux,"48.82956,2.27353"
2cd94cbb-c19a-d58c-c35b-1c8c0a4c9f7f,EA234FL,af42e12f-3838-b326-8e94-4239b02b61c4,2026-04-01T06:03:00,2026-04-01T06:08:24,5.4,1360,Boulogne-Billancourt,"48.84259,2.24628"
25f934bf-9bb9-6155-5275-eb9414aeaf5c,EE803VM,e1e3db63-ef7d-dc76-b92d-a22b21df306f,2026-04-01T06:03:00,2026-04-01T06:14:22,11.4,2238,Boulogne-Billancourt,"48.83486,2.23933"
2cfa55b0-6e3f-683a-bf3c-51407f54a511,EX218TB,680ac07a-2a93-5d62-3c83-5dc0d9441fa5,2026-04-01T06:07:00,2026-04-01T06:20:22,13.4,3027,Boulogne-Billancourt,"48.83202,2.23628"
ffb8102d-9475-dbc9-9641-8cedd664d264,EA696JR,77d21e02-ff01-cf99-988c-24c961b1cd22,2026-04-01T06:08:00,2026-04-01T06:46:39,38.6,6680,Boulogne-Billancourt,"48.83984,2.23954"
18e19331-1dba-1267-7e1c-a5a1fef518a6,GG408RM,36386821-f6e0-7cc0-6c52-c49f9b49bd26,2026-04-01T06:08:00,2026-04-01T06:39:52,31.9,4990,Meudon,"48.80733,2.23502"
43b38eb4-0390-2c5d-6502-d6a2ca6a2224,GD675VP,c40db9b4-885f-6e66-c2b6-d2c5fa5d3100,2026-04-01T06:09:00,2026-04-01T06:40:07,31.1,7731,Boulogne-Billancourt,"48.84266,2.24666"
692ac139-1f4a-8ca1-ab85-fd595463adc7,EA689JB,693dffbc-6c6f-a611-5ab3-3edf6e595ed3,2026-04-01T06:11:00,2026-04-01T06:23:52,12.9,2625,Issy-les-Moulineaux,"48.82841,2.26756"
177a8a5f-6ffe-33b3-d4bf-7a4b25b8a42f,EG161VP,3e896c64-e117-dac3-119c-4ea3e1805081,2026-04-01T06:13:00,2026-04-01T06:22:43,9.7,2200,Meudon,"48.80815,2.22579"
bc92fd81-039b-058c-2faa-be0bb7f60cdf,GB797TE,b00805cc-a7f3-6ae9-25c7-3c443e75c3b4,2026-04-01T06:17:00,2026-04-01T06:28:41,11.7,2099,Chaville,"48.80869,2.18398"
d35ac07a-aa02-17d0-cd4f-8b2b899ac252,GB467LM,8eb22579-0cdb-1ca4-76ec-bdd68498e113,2026-04-01T06:17:00,2026-04-01T06:46:30,29.5,5572,Issy-les-Moulineaux,"48.82378,2.27742"
