provider_name,provider_id,device_id,vehicle_id,vehicle_type,propulsion_types,last_event_time,last_vehicle_state,last_event_types,current_location,battery_pct
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,bdd640fb-0667-1ad1-1c80-317fa3b1799d,EE228LR,moped,[electric],1782796097000,available,[trip_end],"{""type"":""Point"",""coordinates"":[2.20704,48.82181]}",0.17
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,6c031199-972a-8469-1641-9f828b9d2434,GA095ME,moped,[electric],1782812742000,on_trip,[trip_start],"{""type"":""Point"",""coordinates"":[2.23651,48.8367]}",0.57
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,b38a088c-a65e-d389-b74d-0fb132e70629,EE459PB,moped,[electric],1782798962000,available,[trip_end],"{""type"":""Point"",""coordinates"":[2.2359,48.82898]}",0.16
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,27cd8130-4722-9389-571a-a8766c307511,GS104JM,moped,[electric],1782802492000,available,[trip_end],"{""type"":""Point"",""coordinates"":[2.19291,48.81075]}",0.84
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,0b1f9163-ce9f-f57f-43b7-a3a69a8dca03,EB996TB,moped,[electric],1782710770000,reserved,[reservation_start],"{""type"":""Point"",""coordinates"":[2.18924,48.81565]}",0.77
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,5c941cf0-dc98-d2c1-e2ac-f72f9e574f7a,GB046ML,moped,[electric],1782737656000,reserved,[reservation_start],"{""type"":""Point"",""coordinates"":[2.18353,48.80318]}",0.41
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,47294739-614f-f3d7-19db-3ad0ddd1dfb2,ES166RL,moped,[electric],1782801487000,available,[trip_end],"{""type"":""Point"",""coordinates"":[2.24422,48.83769]}",0.67
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,12476f57-a5e5-a5ab-aefc-fad8efc89849,GE167VM,moped,[electric],1782723508000,available,[trip_end],"{""type"":""Point"",""coordinates"":[2.29245,48.8151]}",0.63
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,af42e12f-3838-b326-8e94-4239b02b61c4,EA234FL,moped,[electric],1782630279000,available,[trip_end],"{""type"":""Point"",""coordinates"":[2.23363,48.8284]}",0.9
YEGO,da99028e-28b7-4dd3-ad23-41b7a045db8a,e059a0ee-9132-b63e-f162-87e4e9c349e0,EE671VM,moped,[electric],1782794569000,available,[trip_end],"{""type"":""Point"",""coordinates"":[2.23559,48.81468]}",0.79
