device_id,vehicle_id,vehicle_type,etat,etat_libelle,battery_pct,derniere_maj,geo_point_2d
bdd640fb-0667-1ad1-1c80-317fa3b1799d,EE228LR,moped,available,Disponible,17,2026-06-30T07:08:17,"48.82181,2.20704"
6c031199-972a-8469-1641-9f828b9d2434,GA095ME,moped,on_trip,En course,57,2026-06-30T11:45:42,"48.8367,2.23651"
b38a088c-a65e-d389-b74d-0fb132e70629,EE459PB,moped,available,Disponible,16,2026-06-30T07:56:02,"48.82898,2.2359"
27cd8130-4722-9389-571a-a8766c307511,GS104JM,moped,available,Disponible,84,2026-06-30T08:54:52,"48.81075,2.19291"
0b1f9163-ce9f-f57f-43b7-a3a69a8dca03,EB996TB,moped,reserved,Réservé,77,2026-06-29T07:26:10,"48.81565,2.18924"
5c941cf0-dc98-d2c1-e2ac-f72f9e574f7a,GB046ML,moped,reserved,Réservé,41,2026-06-29T14:54:16,"48.80318,2.18353"
47294739-614f-f3d7-19db-3ad0ddd1dfb2,ES166RL,moped,available,Disponible,67,2026-06-30T08:38:07,"48.83769,2.24422"
12476f57-a5e5-a5ab-aefc-fad8efc89849,GE167VM,moped,available,Disponible,63,2026-06-29T10:58:28,"48.8151,2.29245"
af42e12f-3838-b326-8e94-4239b02b61c4,EA234FL,moped,available,Disponible,90,2026-06-28T09:04:39,"48.8284,2.23363"
e059a0ee-9132-b63e-f162-87e4e9c349e0,EE671VM,moped,available,Disponible,79,2026-06-30T06:42:49,"48.81468,2.23559"
3f22faf8-23be-d01d-43cf-2fde24933b83,EW919TL,moped,available,Disponible,44,2026-06-30T07:19:54,"48.82711,2.16291"
c17af08a-1745-d6d8-7e57-0ddf827050a8,GB156LR,moped,available,Disponible,98,2026-06-30T22:00:00,"48.83477,2.23358"
77d21e02-ff01-cf99-988c-24c961b1cd22,EA696JR,moped,available,Disponible,31,2026-06-30T10:35:39,"48.8265,2.21395"
1c8eaee9-5715-bd6f-a416-1293c4c2e2e3,EW161VB,moped,available,Disponible,55,2026-06-30T07:57:13,"48.82588,2.17382"
c30ff46e-8026-695f-f8cd-a88b436d76e2,GB891PR,moped,non_operational,Hors service,11,2026-06-30T08:17:57,"48.83465,2.24103"
8a14be62-295b-4715-c333-e8615fb8d16c,GS500FB,moped,reserved,Réservé,34,2026-06-30T08:52:33,"48.81836,2.17448"
3d4cbf37-4eb9-3eff-ce88-cb2dd4e80839,GE899JB,moped,available,Disponible,60,2026-06-30T07:17:38,"48.81494,2.1811"
